cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
111302,"secretar primărie, prefectură","secretar primarie, prefectura",secretar general,57.77777777777777
334201,secretar procuratură,secretar procuratura,dispecer portuar,61.111111111111114
264216,secretar responsabil de agenție,secretar responsabil de agentie,responsabil de casting,67.9245283018868
341903,secretar școală,secretar scoala,secretar/secretara,72.72727272727273
235909,secretar școală,secretar scoala,secretar/secretara,72.72727272727273
265415,secretar șef producție film,secretar sef productie film,regizor productie video si film,62.06896551724138
111407,"secretar și secretar adjunct ai asociațiilor, filialelor și organizațiilor obștești","secretar si secretar adjunct ai asociatiilor, filialelor si organizatiilor obstesti",asistent social specializat in ajutor familial/asistenta sociala specializata in ajutor familial,43.575418994413404
122303,secretar științific,secretar stiintific,secretar artistic,72.22222222222221
134503,"secretar științific învățământ, cercetare","secretar stiintific invatamant, cercetare",cercetator stiintific veterinar,61.111111111111114
412001,secretară,secretara,secretar de stat,72.0
412002,secretară dactilografă,secretara dactilografa,dactilograf/dactilografa,69.56521739130434
412003,secretară prelucrare texte,secretara prelucrare texte,secretar de stat,61.904761904761905
111217,secretar-șef notariat,secretar-sef notariat,secretar/secretara,71.7948717948718
818122,securizator geam,securizator geam,secretar general,62.5
811105,semnalist-cuplător,semnalist-cuplator,analist ocupational,64.86486486486487
352116,senzitometrist,senzitometrist,optometrist,72.0
811209,separator la prepararea cărbunilor,separator la prepararea carbunilor,operator in prelucrarea carnii,68.75
612302,sericicultor,sericicultor,sculptor,70.0
732205,serigraf,serigraf,geograf,66.66666666666666
835006,servator far maritim și stație semnal de ceață,servator far maritim si statie semnal de ceata,operator la masina de alezat,59.45945945945946
813107,sinterizator,sinterizator,asistent editor,66.66666666666666
751303,smântânitor,smantanitor,vanator,66.66666666666666
711201,sobar,sobar,cosar,60.0
265305,solist balet,solist balet,analist buget,64.0
265220,solist concertist,solist concertist,analist contabil,60.60606060606061
265214,solist instrumentist,solist instrumentist,analist investitii,57.89473684210527
265215,solist vocal,solist vocal,asistent social,66.66666666666666
811302,sondor la foraj manual,sondor la foraj manual,operator la ondularea cartonului,55.55555555555556
811310,sondor la forajul mecanizat și reparații sonde,sondor la forajul mecanizat si reparatii sonde,sondor la forajul mecanizat si reparatii sonde/sondoare la forajul mecanizat si reparatii sonde,65.24822695035462
811311,sondor la intervenții de sonde,sondor la interventii de sonde,operator la instalatii de ridicat,57.14285714285714
811312,sondor la punerea în producție,sondor la punerea in productie,tehnician punere in functiune,61.016949152542374
432106,sortator produse,sortator produse,sortator deseuri,75.0
731728,"sortator, spălător păr","sortator, spalator par",lucrator in spalatorie,63.63636363636363
912104,spălător covoare înnodate,spalator covoare innodate,asamblor motoare nave,65.21739130434783
951002,spălător geamuri și parbrize,spalator geamuri si parbrize,inspector drumuri si poduri,61.81818181818181
811207,spălător la prepararea cărbunilor,spalator la prepararea carbunilor,lucrator la prepararea produselor lactate,67.56756756756756
912201,spălător vehicule,spalator vehicule,tapiter autovehicule,64.86486486486487
912301,spălător vitrine și geamuri,spalator vitrine si geamuri,lucrator curatenie vitrine si geamuri,75.0
912103,spălătoreasă lenjerie,spalatoreasa lenjerie,evaluator energetic,60.0
213306,specialist arii protejate,specialist arii protejate,ofiter arii protejate,69.56521739130434
241308,specialist bancar,specialist bancar,specialist in biometrie,65.0
241270,specialist control intern în domeniul pieței de capital,specialist control intern in domeniul pietei de capital,manager in domeniul achizitiei de talente,58.333333333333336
241216,specialist control risc,specialist control risc,specialist in biometrie,65.21739130434783
242118,specialist digitalizare,specialist digitalizare,specialist in biometrie,69.56521739130434
214112,specialist documentație studii,specialist documentatie studii,specialist in biometrie,64.15094339622641
251301,specialist e-Afaceri,specialist e-afaceri,specialist dezvoltare afaceri,77.55102040816327
242904,specialist educator în penitenciare,specialist educator in penitenciare,director penitenciar,61.81818181818181
262115,specialist educație muzeală,specialist educatie muzeala,specialist in biometrie,60.0
241217,specialist evaluare daune,specialist evaluare daune,specialist dezvoltare afaceri,74.07407407407408
243215,specialist garanții auto,specialist garantii auto,specialist in chimie aplicata,64.15094339622641
265218,specialist instrumente de suflat,specialist instrumente de suflat,specialist integrare baze de date,70.76923076923077
242102,specialist îmbunătățire procese,specialist imbunatatire procese,specialist militar de razboi,64.40677966101694
332301,specialist în achiziții,specialist in achizitii,specialist in chimie aplicata,73.07692307692307
242412,specialist în activitatea de coaching,specialist in activitatea de coaching,specialist in calitatea datelor,73.52941176470588
263507,specialist în angajare asistată,specialist in angajare asistata,specialist in configurarea sistemelor it,70.4225352112676
242321,specialist în compensații și beneficii,specialist in compensatii si beneficii,specialist in biometrie,65.57377049180327
242322,specialist în dezvoltare organizațională,specialist in dezvoltare organizationala,specialist dezvoltare afaceri,69.56521739130434
214129,specialist în domeniul calității,specialist in domeniul calitatii,specialist in chimie aplicata,68.85245901639344
251401,specialist în domeniul proiectării asistate pe calculator,specialist in domeniul proiectarii asistate pe calculator,tehnician proiectare asistata de calculator,72.0
341206,specialist în economia socială,specialist in economia sociala,specialist in chimie aplicata,71.1864406779661
251302,specialist în e-Guvernare,specialist in e-guvernare,specialist in biometrie,66.66666666666666
251303,specialist în e-Media,specialist in e-media,specialist in biometrie,77.27272727272727
