cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
311902,maistru tipograf,maistru tipograf,maistru tipograf,100.0,58,25,33,21,37,53.173517799372384,medium
215205,inginer producție,inginer productie,designer productie,85.71428571428571,38,16,22,4,34,53.15784528351253,medium
311403,tehnician proiectant electronică,tehnician proiectant electronica,tehnician proiectant in electronica,95.52238805970148,41,22,19,17,24,53.06242779733965,medium
313903,tehnician în industria celulozei și hârtiei,tehnician in industria celulozei si hartiei,tehnician in industria celulozei si hartiei,100.0,32,14,18,5,27,53.04691846113796,medium
311915,tehnician în industria pielăriei,tehnician in industria pielariei,tehnician in industria celulozei si hartiei,80.0,32,14,18,5,27,53.04691846113796,medium
242235,coordonator programe de sport,coordonator programe de sport,coordonator programe de sport,100.0,34,15,19,5,29,53.04651091088126,medium
516303,îmbălsămător,imbalsamator,imbalsamator,100.0,27,11,16,3,24,53.03638281461465,medium
311703,maistru minier,maistru minier,maistru minier,100.0,26,11,15,3,23,53.00872383091703,medium
311711,maistru mineralurg,maistru mineralurg,maistru minier,81.25,26,11,15,3,23,53.00872383091703,medium
731311,maistru bijutier,maistru bijutier,maistru minier,80.0,26,11,15,3,23,53.00872383091703,medium
541402,agent control acces,agent control acces,agent control acces,100.0,32,16,16,3,29,52.978846329537944,medium
111201,consilier diplomatic,consilier diplomatic,consilier diplomatic,100.0,37,17,20,13,24,52.932114303917864,medium
243214,curier diplomatic,curier diplomatic,consilier diplomatic,81.08108108108108,37,17,20,13,24,52.932114303917864,medium
315415,controlor trafic aerian informare,controlor trafic aerian informare,controlor trafic aerian,82.14285714285714,36,32,4,11,25,52.902574204591886,medium
432303,controlor trafic,controlor trafic,controlor trafic aerian,82.05128205128204,36,32,4,11,25,52.902574204591886,medium
313104,operator la instalațiile de turbine cu abur sau gaze,operator la instalatiile de turbine cu abur sau gaze,tehnician la instalatiile de turbine cu abur sau gaze,87.61904761904762,30,11,19,6,24,52.88059561438022,medium
815205,operator sculuitor,operator sculuitor,operator stivuitor,83.33333333333334,41,32,9,1,40,52.87310787027374,medium
311511,maistru mecanică fină,maistru mecanica fina,maistru mecanica fina,100.0,36,16,20,5,31,52.87147942167256,medium
722204,lăcătuș mecanică fină,lacatus mecanica fina,maistru mecanica fina,80.95238095238095,36,16,20,5,31,52.87147942167256,medium
524101,manechin,manechin,manechin,100.0,22,11,11,4,18,52.7765669076335,medium
516405,îngrijitor câini,ingrijitor caini,ingrijitor caini,100.0,35,16,19,6,29,52.717900035394194,medium
921201,îngrijitor animale,ingrijitor animale,ingrijitor caini,82.35294117647058,35,16,19,6,29,52.717900035394194,medium
