cod_cor,denumire_ocupatie
214628,asistent de cercetare în exploatări miniere
214921,asistent de cercetare în filatură-țesătorie
264315,asistent de cercetare în filologie
263306,asistent de cercetare în filozofie
241302,asistent de cercetare în finanțe-bănci
211103,asistent de cercetare în fizică
211107,asistent de cercetare în fizică tehnologică
211105,asistent de cercetare în fizică-chimie
226404,asistent de cercetare în fiziokinetoterapie
211435,asistent de cercetare în geochimie
211440,asistent de cercetare în geodezie
211431,asistent de cercetare în geofizică
263213,asistent de cercetare în geografie
211427,asistent de cercetare în geologie
211437,asistent de cercetare în geologie petrolieră
211429,asistent de cercetare în geologie tehnică
241304,"asistent de cercetare în gestiune, contabilitate, control financiar"
213247,asistent de cercetare în horticultură
214918,asistent de cercetare în informatică
213149,asistent de cercetare în ingineria genetică
214233,asistent de cercetare în ingineria materialelor oxidice
214640,asistent de cercetare în ingineria proceselor siderurgice
214230,asistent de cercetare în instalații
214657,asistent de cercetare în instalații și utilaje pentru transportul și depozitarea produselor petroliere
263308,asistent de cercetare în istorie
264313,asistent de cercetare în lingvistică
214459,asistent de cercetare în mașini hidraulice și pneumatice
214456,asistent de cercetare în mașini și echipamente termice
214486,asistent de cercetare în mașini și instalații mecanice
212016,asistent de cercetare în matematică
212020,asistent de cercetare în matematică aplicată
212022,asistent de cercetare în matematică-fizică
212024,asistent de cercetare în matematică-informatică
212018,asistent de cercetare în matematică-mecanică
214465,asistent de cercetare în mecanică fină
221110,asistent de cercetare în medicina generală
226105,asistent de cercetare în medicina stomatologică
223002,asistent de cercetare în medicina tradițională
225005,asistent de cercetare în medicina veterinară
214643,asistent de cercetare în metalurgia neferoasă
211210,asistent de cercetare în meteorologie
215129,asistent de cercetare în metrologie
213139,asistent de cercetare în microbiologie-bacteriologie
215231,asistent de cercetare în microelectronică
211433,asistent de cercetare în mineralogia tehnică și experimentală
235102,asistent de cercetare în pedagogie
213243,asistent de cercetare în pedologie-agrochimie
214128,asistent de cercetare în pescuit și acvacultură
214529,asistent de cercetare în petrochimie și carbochimie
214634,asistent de cercetare în petrol (extracție-prospecțiune)
214937,asistent de cercetare în prelucrarea lemnului
214649,asistent de cercetare în prelucrări plastice și tratamente termice
214631,asistent de cercetare în prepararea substanțelor minerale utile
263416,asistent de cercetare în psihologie
263418,asistent de cercetare în psihopedagogie specială
213253,asistent de cercetare în silvicultură
214450,asistent de cercetare în sisteme de propulsie
263209,asistent de cercetare în sociologie
212026,asistent de cercetare în statistică
214652,asistent de cercetare în știința materialelor
263310,asistent de cercetare în științele politice
214943,"asistent de cercetare în tehnologia celulozei, hârtiei, poligrafiei și fibrelor"
214927,"asistent de cercetare în tehnologia chimică a produselor textile, pieii, blănurilor și înlocuitorilor"
214532,asistent de cercetare în tehnologia compușilor macromoleculari
214468,asistent de cercetare în tehnologia construcțiilor de mașini
214125,asistent de cercetare în tehnologia prelucrării produselor agricole
214523,asistent de cercetare în tehnologia substanțelor anorganice
214526,asistent de cercetare în tehnologia substanțelor organice
214940,asistent de cercetare în tehnologie și echipamente neconvenționale
214655,asistent de cercetare în tehnologii carbochimice
215234,asistent de cercetare în telecomenzi și electronică în transporturi
214637,asistent de cercetare în topografie minieră
214924,asistent de cercetare în tricotaje-confecții textile
214646,asistent de cercetare în turnarea metalelor
214477,asistent de cercetare în utilaje și instalații portuare
214480,asistent de cercetare în utilaje și tehnologia ambalării
213255,asistent de cercetare în zootehnie
215135,asistent de cercetare roboți industriali
211445,"asistent de cercetare științifică în domeniul hidrologiei, hidrogeologiei și gospodăririi apelor"
265238,asistent de cercetare științifică în muzică
226204,asistent de farmacie licențiat
325103,asistent de medicină dentară
226501,asistent de nutriție
325102,asistent de profilaxie stomatologică
243217,asistent director/ responsabil de funcțiune (studii superioare)
321301,asistent farmacist
311116,asistent fizică și chimie
261205,asistent judiciar
334303,asistent manager
531201,asistent maternal
226905,asistent medical (studii superioare)
226924,"asistent medical balneofizioterapie, balneofiziokinetoterapie și recuperare"
325909,"asistent medical balneofizioterapie, balneofiziokinetoterapie și recuperare"
325301,asistent medical comunitar
325603,asistent medical consiliere HIV/ SIDA
321303,asistent medical de farmacie
325905,asistent medical de pediatrie
325502,asistent medical fizioterapie
222101,asistent medical generalist
325901,asistent medical generalist
226921,asistent medical igienă și sănătate publică
325907,asistent medical igienă și sănătate publică
226920,asistent medical laborator
325904,asistent medical laborator
226918,asistent medical nutriție dietetică
325902,asistent medical nutriție dietetică
325906,asistent medical obstetrică-ginecologie
226919,asistent medical radiologie
325910,asistent medical radiologie
222102,asistent medical specializat
134201,asistent medical șef
226923,asistent medico-social
325908,asistent medico-social
211206,asistent meteorolog
263509,asistent pentru îngrijirea persoanelor vârstnice
532203,asistent personal al persoanei cu handicap grav
